service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RS11,1,1,1,1,1,0,0,20240101,20301231
RS12,1,1,1,1,1,0,0,20240101,20301231
RS13,1,1,1,1,1,0,0,20240101,20301231
RS14,1,1,1,1,1,0,0,20240101,20301231
RS15,1,1,1,1,1,0,0,20240101,20301231
RS16,1,1,1,1,1,0,0,20240101,20301231
RS17,1,1,1,1,1,0,0,20240101,20301231
RS18,1,1,1,1,1,0,0,20240101,20301231
RS19,1,1,1,1,1,0,0,20240101,20301231
RS20,1,1,1,1,1,0,0,20240101,20301231
RS21,1,1,1,1,1,0,0,20240101,20301231
RS22,1,1,1,1,1,0,0,20240101,20301231
RS23,1,1,1,1,1,0,0,20240101,20301231
RS24,1,1,1,1,1,0,0,20240101,20301231
RS25,1,1,1,1,1,0,0,20240101,20301231
RS26,1,1,1,1,1,0,0,20240101,20301231
RS27,1,1,1,1,1,0,0,20240101,20301231
RS28,1,1,1,1,1,0,0,20240101,20301231
RS29,1,1,1,1,1,0,0,20240101,20301231
RS30,0,0,0,0,0,1,0,20240101,20301231
RS31,0,0,0,0,0,1,0,20240101,20301231
RS32,0,0,0,0,0,1,0,20240101,20301231
RS33,0,0,0,0,0,1,0,20240101,20301231
RS34,0,0,0,0,0,1,0,20240101,20301231
RS35,0,0,0,0,0,1,0,20240101,20301231
RS36,0,0,0,0,0,1,0,20240101,20301231
RS37,0,0,0,0,0,1,0,20240101,20301231
RS38,0,0,0,0,0,1,0,20240101,20301231
RS39,0,0,0,0,0,1,0,20240101,20301231
RS40,0,0,0,0,0,1,0,20240101,20301231
RS41,0,0,0,0,0,1,0,20240101,20301231
RS42,0,0,0,0,0,1,0,20240101,20301231
RS43,0,0,0,0,0,1,0,20240101,20301231
RS44,0,0,0,0,0,1,0,20240101,20301231
RS45,0,0,0,0,0,1,0,20240101,20301231
RS46,0,0,0,0,0,1,0,20240101,20301231
RS47,0,0,0,0,0,1,0,20240101,20301231
RS48,0,0,0,0,0,1,0,20240101,20301231
RS49,0,0,0,0,0,1,0,20240101,20301231
RS50,0,0,0,0,0,1,0,20240101,20301231
RS51,0,0,0,0,0,1,0,20240101,20301231
RS52,0,0,0,0,0,1,0,20240101,20301231
RS53,0,0,0,0,0,1,0,20240101,20301231
RS54,0,0,0,0,0,1,0,20240101,20301231
RS55,0,0,0,0,0,1,0,20240101,20301231
RS56,0,0,0,0,0,1,0,20240101,20301231
RS57,0,0,0,0,0,1,0,20240101,20301231
RS58,0,0,0,0,0,1,0,20240101,20301231
RS59,0,0,0,0,0,1,0,20240101,20301231
RS60,0,0,0,0,0,1,0,20240101,20301231
RS61,0,0,0,0,0,1,0,20240101,20301231
